date,price1,price2
14/1/2020,1811,6023.1653
15/1/2020,1820,5994.2457
16/1/2020,1887,6011.687
17/1/2020,1893,5973.3167
20/1/2020,,6004.4446
21/1/2020,1894,5912.4973
22/1/2020,1886,5860.6841
23/1/2020,1875,5582.9889
3/2/2020,1911,5150.1655
4/2/2020,1918,5340.5456
5/2/2020,1904,5435.7203
6/2/2020,1901,5639.518
7/2/2020,1906,5681.1136
10/2/2020,1903,5850.2893
11/2/2020,1897,5818.9756
12/2/2020,1895,5872.1984
13/2/2020,1882,5849.514
14/2/2020,1877,5970.8493
17/2/2020,,6101.1303
18/2/2020,1876,6060.6956
19/2/2020,1879,6098.2699
20/2/2020,1875,6177.9181
21/2/2020,1874,6140.2391
24/2/2020,1876,6150.765
25/2/2020,1877,6197.3128
26/2/2020,1878,6126.9343
27/2/2020,1881,6204.7401
28/2/2020,1890,5965.5882
2/3/2020,1896,6160.8761
3/3/2020,1895,6220.5563
4/3/2020,1938,6324.2806
5/3/2020,1938,6564.6921
6/3/2020,1900,6497.0054
9/3/2020,1900,6339.6653
10/3/2020,1900,6371.0513
11/3/2020,1900,6338.1939
12/3/2020,1900,6128.1707
13/3/2020,1900,6095.1441
16/3/2020,1952,5834.2079
17/3/2020,1943,5822.5607
18/3/2020,1938,5872.9913
19/3/2020,1931,5871.0902
20/3/2020,1938,5941.2603
23/3/2020,1955,5779.6708
24/3/2020,1953,5972.8177
25/3/2020,1961,6078.0648
26/3/2020,1965,6111.8885
27/3/2020,1970,6086.1766
30/3/2020,1991,6121.0586
31/3/2020,1987,6465.1608
1/4/2020,1986,6347.3169
2/4/2020,1980,6363.5663
3/4/2020,1978,6435.2655
7/4/2020,1978,6690.2022
8/4/2020,1982,6551.129
9/4/2020,1988,6584.5229
10/4/2020,1984,6537.3156
13/4/2020,1989,6470.7746
14/4/2020,1995,6599.5889
15/4/2020,2016,6498.8993
16/4/2020,2026,6474.5321
17/4/2020,2018,6505.5964
20/4/2020,2028,6551.4717
21/4/2020,2015,6508.8572
22/4/2020,2016,6761.2519
23/4/2020,2029,6762.2921
24/4/2020,2039,6693.6592
27/4/2020,2053,6749.5564
28/4/2020,2054,6748.4394
29/4/2020,2051,6612.9442
30/4/2020,2035,6619.8165
6/5/2020,2040,6656.2004
7/5/2020,2008,6727.3104
8/5/2020,2007,6754.1554
11/5/2020,2006,6614.5839
12/5/2020,2014,6630.8574
13/5/2020,2008,6699.9408
14/5/2020,2000,6530.3669
15/5/2020,2000,6527.5755
18/5/2020,2000,6651.257
19/5/2020,2010,6627.4374
20/5/2020,1999,6524.1984
21/5/2020,2008,6415.2477
22/5/2020,1996,6338.1961
25/5/2020,2003,6438.6644
26/5/2020,2009,6470.5453
27/5/2020,2015,6419.9888
28/5/2020,2028,6347.2312
29/5/2020,2046,6438.6763
1/6/2020,2041,6530.9044
2/6/2020,2040,6553.6366
3/6/2020,2039,6507.1399
4/6/2020,2035,6559.356
5/6/2020,2039,6448.9727
8/6/2020,2038,6504.9017
9/6/2020,,6515.0221
10/6/2020,2054,6535.7415
11/6/2020,2067,6370.0935
12/6/2020,2066,6378.2041
15/6/2020,2086,6486.564
16/6/2020,2087,6528.6759
17/6/2020,2093,6594.2773
18/6/2020,2112,6644.425
19/6/2020,2103,6729.5659
22/6/2020,2094,6810.3058
23/6/2020,2090,6781.7013
24/6/2020,2086,6782.6253
29/6/2020,2097,6873.1447
30/6/2020,2091,7002.4914
1/7/2020,2090,7131.6903
2/7/2020,2054,7114.5524
3/7/2020,,7118.2861
6/7/2020,2108,7392.3942
7/7/2020,2108,7430.5026
8/7/2020,2108,7482.1412
9/7/2020,2108,7713.5547
10/7/2020,2108,7625.3376
13/7/2020,2108,8012.5927
14/7/2020,2103,8007.9403
15/7/2020,2138,8008.0373
16/7/2020,2155,7523.2445
17/7/2020,2157,7712.8457
20/7/2020,2183,7876.8705
21/7/2020,2180,7942.2232
22/7/2020,2187,8009.6128
23/7/2020,2220,7992.8238
24/7/2020,2249,7760.0909
27/7/2020,2309,7807.0864
28/7/2020,2306,8017.2595
29/7/2020,2305,8150.096
30/7/2020,2308,8233.0884
31/7/2020,2334,8268.5886
3/8/2020,2312,8458.505
4/8/2020,2310,8419.6785
5/8/2020,2296,8638.3496
6/8/2020,2294,8469.0446
7/8/2020,2254,8402.0572
10/8/2020,2218,8437.4104
11/8/2020,2223,8403.359
12/8/2020,2217,8241.3421
13/8/2020,2216,8356.0236
14/8/2020,2245,8377.5333
17/8/2020,2265,8419.9675
18/8/2020,2274,8541.0398
19/8/2020,2258,8489.5491
20/8/2020,2257,8338.8351
21/8/2020,2252,8430.095
24/8/2020,2234,8624.1198
25/8/2020,2230,8496.2822
26/8/2020,2238,8329.4345
27/8/2020,2235,8446.5434
28/8/2020,2218,8720.7086
31/8/2020,2221,8715.7935
1/9/2020,2227,8766.4421
2/9/2020,2234,8794.6734
3/9/2020,2235,8614.5557
4/9/2020,2239,8508.8096
7/9/2020,2250,8086.0006
8/9/2020,2261,8017.846
9/9/2020,2261,7698.0837
10/9/2020,2295,7667.4927
11/9/2020,2311,7731.855
14/9/2020,2271,7675.2496
15/9/2020,2381,7713.2245
16/9/2020,2379,7627.8495
17/9/2020,2398,7513.3519
18/9/2020,2418,7609.6743
21/9/2020,2443,7535.7503
22/9/2020,2436,7445.2723
23/9/2020,2417,7540.7348
24/9/2020,2394,7404.3274
25/9/2020,2390,7417.0024
28/9/2020,2425,7331.0893
29/9/2020,2424,7437.5588
30/9/2020,2417,7401.2692
9/10/2020,2491,7566.8701
12/10/2020,2519,7768.4213
13/10/2020,2532,7932.9732
14/10/2020,2553,7818.1658
15/10/2020,2542,7673.681
16/10/2020,2527,7631.7517
19/10/2020,2559,7522.0282
20/10/2020,2555,7611.1439
21/10/2020,2550,7529.4728
22/10/2020,2540,7388.4053
23/10/2020,2535,7221.1059
26/10/2020,2544,7254.8366
27/10/2020,2547,7385.3094
28/10/2020,2551,7391.5397
29/10/2020,2560,7465.3705
30/10/2020,2565,7269.1859
2/11/2020,2548,7281.7926
3/11/2020,2517,7354.0664
4/11/2020,2517,7305.9133
5/11/2020,2518,7386.797
6/11/2020,2520,7238.2438
9/11/2020,2490,7363.4753
10/11/2020,2492,7374.5833
11/11/2020,2495,7329.6458
12/11/2020,2495,7283.8605
13/11/2020,2526,7233.6215
16/11/2020,2589,7390.0656
17/11/2020,2591,7325.8487
18/11/2020,2590,7330.3384
19/11/2020,2604,7483.6914
20/11/2020,2601,7488.1337
23/11/2020,2604,7470.8332
24/11/2020,2588,7431.5086
25/11/2020,2572,7284.1532
26/11/2020,,7296.0261
27/11/2020,2579,7402.9659
30/11/2020,2598,7339.9806
1/12/2020,2603,7436.6414
2/12/2020,2596,7461.1665
3/12/2020,2589,7527.0291
4/12/2020,2570,7529.7138
7/12/2020,2561,7604.9614
8/12/2020,2545,7558.5455
9/12/2020,2542,7404.9512
10/12/2020,2547,7392.778
11/12/2020,2535,7297.1526
14/12/2020,2521,7488.9276
15/12/2020,2505,7461.5619
16/12/2020,2521,7477.4084
17/12/2020,2535,7475.1978
18/12/2020,2540,7415.085
21/12/2020,2549,7589.5703
22/12/2020,2554,7409.1246
23/12/2020,2574,7523.8664
24/12/2020,2586,7505.8094
25/12/2020,,7569.0699
28/12/2020,2630,7674.4675
29/12/2020,2632,7519.434
30/12/2020,2657,7590.1014
31/12/2020,2683,7663.806
4/1/2021,2709,8093.3919
5/1/2021,2706,8418.2378
6/1/2021,2725,8435.1609
7/1/2021,2742,8500.3613
8/1/2021,2756,8296.6551
11/1/2021,2820,7998.6079
12/1/2021,2820,8100.8331
13/1/2021,2872,8000.531
14/1/2021,2813,7805.9357
15/1/2021,2734,7772.0853
18/1/2021,,7876.5429
19/1/2021,2867,7716.8357
20/1/2021,2839,7787.4097
21/1/2021,2849,7943.2275
22/1/2021,2820,7948.5843
25/1/2021,2777,8027.3155
26/1/2021,2767,8161.4647
27/1/2021,2769,8303.0212
28/1/2021,2738,8159.1056
29/1/2021,2710,7976.2841
1/2/2021,2735,8090.0889
2/2/2021,2760,8191.6432
3/2/2021,2754,8340.5125
4/2/2021,2771,8271.5941
5/2/2021,2801,8272.8022
8/2/2021,2825,8524.5319
9/2/2021,2805,8703.7867
10/2/2021,2816,8902.2193
18/2/2021,2835,8845.7032
19/2/2021,2823,9109.9527
22/2/2021,2831,9056.3044
23/2/2021,2823,8860.1557
24/2/2021,2831,8674.9399
25/2/2021,2854,8637.0511
26/2/2021,2851,8453.6829
1/3/2021,2835,8572.1644
2/3/2021,2832,8456.7319
3/3/2021,2830,8480.5804
4/3/2021,2838,8205.3628
5/3/2021,2843,8102.2416
8/3/2021,2840,7768.3751
9/3/2021,2840,7543.641
10/3/2021,2736,7537.1878
11/3/2021,2810,7673.5315
12/3/2021,2827,7671.835
15/3/2021,2697,7461.9994
16/3/2021,2710,7485.1243
17/3/2021,2718,7659.3358
18/3/2021,2695,7684.5464
19/3/2021,2699,7513.8981
22/3/2021,2718,7599.9872
23/3/2021,2718,7545.9415
24/3/2021,2718,7489.3215
25/3/2021,2716,7497.9408
26/3/2021,2714,7563.774
29/3/2021,2673,7541.7079
30/3/2021,2650,7648.1503
31/3/2021,2624,7567.1423
1/4/2021,2640,7627.4987
2/4/2021,,7697.2907
6/4/2021,2618,7674.4902
7/4/2021,2644,7620.0683
8/4/2021,2686,7596.868
9/4/2021,2696,7516.2618
12/4/2021,2681,7382.1312
13/4/2021,2675,7435.0557
14/4/2021,2691,7427.8579
15/4/2021,2718,7414.9961
16/4/2021,2741,7379.0103
19/4/2021,2744,7545.8594
20/4/2021,2738,7651.6378
21/4/2021,2746,7646.6809
22/4/2021,2761,7632.0083
23/4/2021,2773,7676.472
26/4/2021,2771,7560.7585
27/4/2021,2779,7548.9242
28/4/2021,2785,7575.6833
29/4/2021,2813,7678.9296
30/4/2021,2799,7671.3057
6/5/2021,2820,7564.952
7/5/2021,2801,7506.5815
10/5/2021,2810,7378.6263
11/5/2021,2802,7426.5687
12/5/2021,2823,7559.5232
13/5/2021,2724,7439.0172
14/5/2021,2757,7514.4189
17/5/2021,2761,7624.6253
18/5/2021,2761,7603.2534
19/5/2021,2808,7595.295
20/5/2021,2766,7608.9583
21/5/2021,2793,7492.6095
24/5/2021,2781,7412.3522
25/5/2021,2772,7528.6056
26/5/2021,2742,7483.9684
27/5/2021,2734,7459.8654
28/5/2021,2742,7363.7188
31/5/2021,2730,7392.6448
1/6/2021,2729,7432.547
2/6/2021,2745,7403.6437
3/6/2021,2761,7314.4832
4/6/2021,2740,7360.2181
7/6/2021,2737,7254.1354
8/6/2021,2715,7255.0578
9/6/2021,2726,7226.1315
10/6/2021,2739,7202.0471
11/6/2021,2744,7171.9851
15/6/2021,2695,7076.0884
16/6/2021,2704,6989.9531
17/6/2021,2712,6938.3205
18/6/2021,2685,6895.162
21/6/2021,2658,6807.3366
22/6/2021,2654,6883.3885
23/6/2021,2647,6919.9572
24/6/2021,2628,6907.1167
25/6/2021,2614,6988.2243
28/6/2021,2614,7206.5211
29/6/2021,2624,7147.7206
30/6/2021,2588,7151.9383
1/7/2021,2600,7095.264
2/7/2021,2603,7000.66
5/7/2021,,6964.8142
6/7/2021,2603,6971.9267
7/7/2021,2785,6956.4352
8/7/2021,2785,6853.7683
9/7/2021,2785,6877.6562
12/7/2021,2785,6924.6596
13/7/2021,2785,6992.5523
14/7/2021,2605,6924.7708
15/7/2021,2617,6894.2863
16/7/2021,2589,6777.6588
19/7/2021,2547,6739.8503
20/7/2021,2522,6735.3548
21/7/2021,2525,6771.6294
22/7/2021,2520,6755.9804
23/7/2021,2523,6652.1537
26/7/2021,2541,6550.2009
27/7/2021,2558,6365.7103
28/7/2021,2566,6223.1136
29/7/2021,2563,6311.0031
30/7/2021,2569,6340.2355
2/8/2021,2572,6562.2323
3/8/2021,2599,6626.3259
4/8/2021,2598,6654.671
5/8/2021,2617,6681.1192
6/8/2021,2613,6678.7381
9/8/2021,2604,6877.865
10/8/2021,2586,6918.882
11/8/2021,2577,6848.3292
12/8/2021,2599,6816.2201
13/8/2021,2614,6840.2056
16/8/2021,2619,6852.7109
17/8/2021,2600,6671.2337
18/8/2021,2597,6620.4969
19/8/2021,2579,6558.6973
20/8/2021,2551,6489.4528
23/8/2021,2559,6568.337
24/8/2021,2579,6587.6206
25/8/2021,2591,6657.3321
26/8/2021,2594,6507.0333
27/8/2021,2580,6566.2695
30/8/2021,2564,6614.312
31/8/2021,2533,6660.986
1/9/2021,2518,6657.3389
2/9/2021,2527,6729.4407
3/9/2021,2574,6804.3647
6/9/2021,2565,6817.0738
7/9/2021,2555,6912.6524
8/9/2021,2550,6918.1724
9/9/2021,2550,6929.4725
10/9/2021,2557,6938.5165
13/9/2021,2555,6941.6608
14/9/2021,2548,6827.4758
15/9/2021,2473,6871.1899
16/9/2021,2451,6902.0453
17/9/2021,2451,6907.6103
22/9/2021,2466,6802.7701
23/9/2021,2472,6844.9741
24/9/2021,2484,6881.3826
27/9/2021,2475,6947.0923
28/9/2021,2479,6878.5883
29/9/2021,2481,6866.2471
30/9/2021,2497,6930.9541
8/10/2021,2490,7132.7925
11/10/2021,2502,7136.1704
12/10/2021,2515,7061.4764
13/10/2021,2532,7085.3956
14/10/2021,2512,7014.2551
15/10/2021,2525,6925.0839
18/10/2021,2526,7021.5562
19/10/2021,2525,7236.4732
20/10/2021,2528,7150.3875
21/10/2021,2542,7113.1526
22/10/2021,2534,7118.0643
25/10/2021,2561,7211.051
26/10/2021,2596,7113.8299
27/10/2021,2592,7130.9675
28/10/2021,2572,7050.9564
29/10/2021,2587,7291.0911
1/11/2021,2584,7354.0857
2/11/2021,2597,7369.8647
3/11/2021,2610,7473.491
4/11/2021,2645,7577.6251
5/11/2021,2652,7406.4073
8/11/2021,2631,7369.0359
9/11/2021,2690,7438.0699
10/11/2021,2700,7342.7729
11/11/2021,2671,7389.6775
12/11/2021,2636,7470.5566
15/11/2021,2653,7421.8995
16/11/2021,2670,7377.9202
17/11/2021,2679,7350.6067
18/11/2021,2677,7338.6622
19/11/2021,2694,7313.7583
22/11/2021,2682,7335.3741
23/11/2021,2659,7277.7095
24/11/2021,2635,7178.5383
25/11/2021,,7149.5956
26/11/2021,2638,7119.3652
29/11/2021,2658,7116.0549
30/11/2021,2657,7083.9112
1/12/2021,2660,7118.3519
2/12/2021,2645,7115.7722
3/12/2021,2670,7209.6862
6/12/2021,2671,7124.8491
7/12/2021,2650,7160.3896
8/12/2021,2647,7265.096
9/12/2021,2660,7328.3134
10/12/2021,2655,7347.3839
13/12/2021,2645,7334.1676
14/12/2021,2673,7279.1528
15/12/2021,2675,7216.4815
16/12/2021,2688,7229.7383
17/12/2021,2674,7178.7431
20/12/2021,2677,7101.3422
21/12/2021,2665,7145.8109
22/12/2021,2649,7250.5809
23/12/2021,2636,7362.8409
24/12/2021,2637,7403.0006
27/12/2021,2630,7365.8499
28/12/2021,2625,7387.0808
29/12/2021,2613,7298.2329
30/12/2021,2604,7310.7666
31/12/2021,2607,7425.8329
4/1/2022,2605,7621.4205
5/1/2022,2618,7580.5936
6/1/2022,2633,7527.6745
7/1/2022,2634,7379.3133
10/1/2022,2630,7597.5575
11/1/2022,2632,7452.3841
12/1/2022,2635,7514.9554
13/1/2022,2643,7304.0226
14/1/2022,2625,7243.6612
17/1/2022,,7294.8713
18/1/2022,2686,7275.2285
19/1/2022,2689,7203.9651
20/1/2022,2706,7258.972
21/1/2022,2708,7091.5902
24/1/2022,2701,7088.5158
25/1/2022,2709,6844.2498
26/1/2022,2727,6932.9696
27/1/2022,2730,6782.2845
28/1/2022,2729,6866.0113
7/2/2022,,6992.9516
